D,B1,B2,B3,y_eff_raw_1,y_eff_raw_2,y_eff_raw_3,y_eff_cum_1,y_eff_cum_2,y_eff_cum_3,track_idx_1,track_idx_2,track_idx_3,track_score_1,track_score_2,track_score_3,parity_1,parity_2,parity_3,nwin_1,nwin_2,nwin_3,sigma_mc_1,sigma_mc_2,sigma_mc_3,window_k,window_gap_scale,window_sigma_mult,window_floor,n_eigs
4.0,0.32296444189057383,0.734727824898525,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.0032558644413614906,0.007406927478339831,0.010081185477578476,0,1,2,1.0,1.0,1.0,-0.9999999515593547,0.9999999427843502,-0.9999999890237045,2,3,4,0.3403473346548498,0.3403473346548498,0.42474009480908426,1,1.0,2.0,0.05,8
5.0,0.30108656087602526,0.832018872601803,1.0,0.0023611449296273936,0.00416361372011836,0.0013173214575746576,0.0023611449296273936,0.006524758649745754,0.00784208010732041,1,0,2,0.07257840125092184,0.6725336157191478,0.09740026895484713,-0.9999999805358203,0.9999999465400103,0.9999999903249537,3,2,4,0.3730315502889945,0.3730315502889945,0.4438824770589007,1,1.0,2.0,0.05,8
6.0,0.22476576723568975,0.8686206073249964,1.0,0.0010291859989143923,0.0029481641928965426,0.0006015766241894144,0.0010291859989143923,0.0039773501918109345,0.0045789268160003485,2,0,4,0.09180811444516654,0.7398697758086009,0.06859719680055078,1.0,1.0,1.0000000000000002,4,2,5,0.3969782759136842,0.3308432801195875,0.26763856567142597,1,1.0,2.0,0.05,8
7.0,0.38988326514724436,0.7044331515219411,1.0,0.0005244253482742976,0.0004230957018619216,0.00039756194047698833,0.0005244253482742976,0.0009475210501362192,0.0013450829906132074,1,0,4,0.6404352897583571,0.038584846822925324,0.44333392023370327,0.9999999908530648,-0.9999999548516961,0.9999702963335164,3,2,4,0.3558780118883096,0.3558780118883096,0.05,1,1.0,2.0,0.05,8
8.0,0.3718536866498991,0.6708667423461535,1.0,0.0003468292412476409,0.0002788905285962925,0.0003069837468867779,0.0003468292412476409,0.0006257197698439335,0.0009327035167307114,1,0,5,0.6128218000543506,0.31174486674567775,0.9389349908793015,0.9999999831517843,-0.9999999522962927,0.9999999240496121,3,2,3,0.3190204007000945,0.3190204007000945,0.07483677471604677,1,1.0,2.0,0.05,8
9.0,0.21504520126645024,0.6916198961842045,1.0,9.151779556435967e-05,0.00020281812960145612,0.00013123876808653534,9.151779556435967e-05,0.00029433592516581576,0.0004255746932523511,3,1,6,0.1386730841325923,0.11090759013855687,0.9387427870934806,1.0000000000000002,1.0000000000000002,1.0,4,3,3,0.3796056602450477,0.2880903274848048,0.05,1,1.0,2.0,0.05,8
10.0,0.19658200899430578,0.728835944646791,1.0,5.223319773496199e-05,0.00014142354739569933,7.205016264885467e-05,5.223319773496199e-05,0.00019365674513066133,0.000265706907779516,2,0,5,0.5794137116835458,0.7113896042406996,0.958375827718487,0.9999999940538463,0.9999999628038926,0.9999999487635759,4,2,3,0.34714450691186416,0.3061919111864668,0.06737951149783195,1,1.0,2.0,0.05,8
11.0,0.2302652510137986,0.8136092849040114,1.0,2.6842335475477e-05,6.800121245545987e-05,2.1727820772317777e-05,2.6842335475477e-05,9.484354793093687e-05,0.00011657136870325465,2,0,6,0.610960486619115,0.7213529392342253,0.9145832743965059,0.999999994772094,0.9999999579082517,0.9999992054059774,4,2,3,0.31756072595729323,0.27861721506702075,0.05,1,1.0,2.0,0.05,8
12.0,0.22810461460358675,0.7745202996578621,1.0,1.2344523925903674e-05,2.9570824375314875e-05,1.2202469294697666e-05,1.2344523925903674e-05,4.191534830121855e-05,5.411781759591622e-05,2,0,6,0.6203551965346291,0.722389360827204,0.9658157890286406,0.9999999999999998,0.9999999999999999,1.0000000000000002,4,2,3,0.29184858124144153,0.255008438925735,0.06099932682521514,1,1.0,2.0,0.05,8
13.0,0.21100133796623843,0.6400268210585096,1.0,2.011435309162574e-06,4.089817692816734e-06,3.431555313598372e-06,2.011435309162574e-06,6.101253001979308e-06,9.53280831557768e-06,3,1,6,0.13462376404768217,0.18255097380706234,0.8884700147713654,0.9999999921376872,0.9999999903768925,0.9999998821982322,4,3,3,0.33069517318911545,0.2686653648542987,0.05,1,1.0,2.0,0.05,8
14.0,0.21041230365784877,0.6164583621955362,1.0,8.227558209206607e-07,1.587724445843317e-06,1.499727485433551e-06,8.227558209206607e-07,2.4104802667639774e-06,3.9102077521975285e-06,3,1,6,0.5432267929653413,0.6721783547717215,0.9200563754292937,0.9999999943175448,0.9999999853844271,0.9999998634156742,4,3,3,0.30583004236013167,0.24727200824298,0.05526200022495864,1,1.0,2.0,0.05,8
15.0,0.2186040800689848,0.7529870985688578,1.0,3.013383521577617e-07,7.36628969436555e-07,3.404989543446709e-07,3.013383521577617e-07,1.0379673215943166e-06,1.3784662759389874e-06,2,0,6,0.5794632674442187,0.6967670848425737,0.8604859820727747,1.0,1.0000000000000002,0.9999999999999998,4,2,3,0.2843613972836425,0.25764433408315,0.05,1,1.0,2.0,0.05,8
16.0,0.21547442926569427,0.7167697109850971,1.0,1.0134521197506175e-07,2.357768240114776e-07,1.3321317882494243e-07,1.0134521197506175e-07,3.3712203598653934e-07,4.703352148114818e-07,2,0,6,0.5801857573982725,0.6546709120645832,0.9016195221913309,0.9999999954182126,0.9999999726406422,0.9999998266532506,4,2,3,0.2649561983268045,0.23932765280363033,0.05022915998037947,1,1.0,2.0,0.05,8
17.0,0.22410737825579338,0.7230401058273762,1.0,3.0936990202824664e-08,6.887536244849904e-08,3.823303632071436e-08,3.0936990202824664e-08,9.981235265132371e-08,1.3804538897203806e-07,2,0,7,0.5930024550339938,0.6603701828734069,0.8339828539654517,0.9999999941960602,0.9999999671786421,0.9999998081344561,4,2,2,0.24675745579613606,0.22225317327705607,0.05987828405336826,1,1.0,2.0,0.05,8
18.0,0.20122544827949085,0.5651499746684838,1.0,3.830340956416111e-09,6.927329671225133e-09,8.277401671444816e-09,3.830340956416111e-09,1.0757670627641245e-08,1.903507229908606e-08,3,1,6,0.1320042616005055,0.16611422983852966,0.8075824134659662,0.9999999999999999,1.0000000000000002,0.9999999999999998,4,3,3,0.2733889375921863,0.2305942017060072,0.05,1,1.0,2.0,0.05,8
19.0,0.21593596692293182,0.5924326907916042,1.0,1.0212381367309759e-09,1.780587172428697e-09,1.9275310425566614e-09,1.0212381367309759e-09,2.8018253091596726e-09,4.729356351716334e-09,3,1,7,0.542777054410324,0.6387085267975586,0.8146235655788264,0.9999999957749098,0.9999999897703797,0.9999997533585059,4,3,2,0.256565216381321,0.21576464338262435,0.06460477118833419,1,1.0,2.0,0.05,8
20.0,0.23262434461394974,0.6237259682756698,1.0,2.473307468497205e-10,4.158268853370511e-10,4.0006189997430415e-10,2.473307468497205e-10,6.631576321867716e-10,1.0632195321610757e-09,3,1,7,0.5343749842984947,0.6274882234197483,0.7961889554945809,0.9999999962140939,0.999999986805695,0.9999997854752256,4,3,2,0.24080459038426794,0.20182454667954586,0.22797996630412598,1,1.0,2.0,0.05,8
